abn,name,category,sources,state,postcode,registration_date,found_at_url
14083762387,Amada Oceania Pty Ltd,Manufacturing,AMTIL,NSW,2153,2000-03-07 00:00:00,https://amtil.com.au/directory/
65009205243,SIMULATION MODELLING SERVICES PTY. LTD.,"",ABR-Search,NSW,2302,2000-03-07 00:00:00,""
13007020439,Camplex Pty Ltd,Manufacturing,AMTIL,VIC,3121,2000-03-08 00:00:00,https://amtil.com.au/directory/
58003931744,Fantid Pty Ltd (Hasmot),Manufacturing,AMTIL,NSW,2481,2000-03-08 00:00:00,https://amtil.com.au/directory/
40005377588,SYSTOM PTY. LIMITED,"",ABR-Search,VIC,3444,2000-03-08 00:00:00,""
74053177898,Consep Pty Ltd,Manufacturing,AMTIL,NSW,2164,2000-03-09 00:00:00,https://amtil.com.au/directory/
79006171035,Infinitev,Manufacturing,AMTIL,VIC,3173,2000-03-09 00:00:00,https://amtil.com.au/directory/
63004939860,MFB Products Pty Ltd,Manufacturing,AMTIL,VIC,3180,2000-03-09 00:00:00,https://amtil.com.au/directory/
34004320361,Maton Guitars Pty Ltd,Manufacturing,AMTIL,VIC,3128,2000-03-10 00:00:00,https://amtil.com.au/directory/
14003491727,4CONTROL AUTOMATION,"",ABR-Search,NSW,2333,2000-03-10 00:00:00,""
38073980999,Colterlec,Manufacturing,AMTIL,NSW,2304,2000-03-12 00:00:00,https://amtil.com.au/directory/
28003337442,Seco Tools Australia Pty Ltd,Manufacturing,AMTIL,NSW,2148,2000-03-12 00:00:00,https://amtil.com.au/directory/
58001215792,Mitsubishi Electric Australia Pty Ltd,Manufacturing,AMTIL,NSW,2116,2000-03-13 00:00:00,https://amtil.com.au/directory/
40003587488,Cammthane Pty Ltd,Manufacturing,AMTIL,NSW,2527,2000-03-16 00:00:00,https://amtil.com.au/directory/
58209574933,Adelaide Training and Employment Centre Inc,Education/Training,RTO,SA,5013,2000-03-17 00:00:00,https://training.gov.au/organisation/details/0022
94005178549,Baron Rubber,Manufacturing,AMTIL,VIC,3047,2000-03-17 00:00:00,https://amtil.com.au/directory/
79069417563,Emona Instruments Pty Ltd,Manufacturing,AMTIL,VIC,2050,2000-03-17 00:00:00,https://amtil.com.au/directory/
38000289958,Hobson Engineering Co Pty Ltd,Manufacturing,AMTIL,NSW,2766,2000-03-20 00:00:00,https://amtil.com.au/directory/
76081598772,Robotic Automation,Manufacturing,AMTIL,NSW,2761,2000-03-21 00:00:00,https://amtil.com.au/directory/
80004239696,Parish Engineering Company Pty Ltd,Manufacturing,AMTIL,VIC,3189,2000-03-22 00:00:00,https://amtil.com.au/directory/
11198205578,Hillmartin Distillery,Manufacturing,NorthLink-FoodMfg,VIC,3090,2000-03-22 00:00:00,https://hillmartin.com.au/
52003191302,TELEMETRICS PTY LTD,"",ABR-Search,NSW,2061,2000-03-22 00:00:00,""
94001831554,AUTOMATION CONSULTANTS AUSTRALIA PTY LTD,"",ABR-Search,NSW,2067,2000-03-22 00:00:00,""
13077637104,Advatek Pty Ltd,Manufacturing,AMTIL,VIC,3153,2000-03-23 00:00:00,https://amtil.com.au/directory/
14006988530,Jenera,Manufacturing,AMTIL,VIC,3153,2000-03-23 00:00:00,https://amtil.com.au/directory/
47058026314,Laser 3D,Manufacturing,AMTIL,VIC,3173,2000-03-23 00:00:00,https://amtil.com.au/directory/
47005126876,Schmalz Australia,Manufacturing,AMTIL,VIC,3153,2000-03-24 00:00:00,https://amtil.com.au/directory/
53053413817,Techni Waterjet Pty Ltd,Manufacturing,AMTIL,VIC,3124,2000-03-24 00:00:00,https://amtil.com.au/directory/
81066744572,IMTS Machinery,Manufacturing,AMTIL,VIC,3008,2000-03-27 00:00:00,https://amtil.com.au/directory/
71080736456,ASHT Pty Ltd,Education/Training,RTO,SA,5000,2000-03-28 00:00:00,https://training.gov.au/organisation/details/0137
54050998493,The Suzan Johnston Organization (Aust) Pty Ltd,Education/Training,RTO,VIC,3000,2000-03-28 00:00:00,https://training.gov.au/organisation/details/0170
83005063847,Acra Machinery Pty Ltd,Manufacturing,AMTIL,VIC,3175,2000-03-28 00:00:00,https://amtil.com.au/directory/
48083423938,IFM Efector,Manufacturing,AMTIL,VIC,3170,2000-03-28 00:00:00,https://amtil.com.au/directory/
58006182798,Panelprint Pty Ltd,Manufacturing,AMTIL,VIC,3153,2000-03-28 00:00:00,https://amtil.com.au/directory/
67079682661,DECISION MODELLING GROUP PTY LIMITED,"",ABR-Search,NSW,2132,2000-03-28 00:00:00,""
68003337611,ABB Australia Pty Ltd,Manufacturing,AMTIL,VIC,2170,2000-03-30 00:00:00,https://amtil.com.au/directory/
83069941662,Romheld Automation Pty Ltd,Manufacturing,AMTIL,NSW,2567,2000-03-31 00:00:00,https://amtil.com.au/directory/
55813413812,Stahl Engineering,Manufacturing,AMTIL,VIC,3058,2000-03-31 00:00:00,https://amtil.com.au/directory/
36003419789,Mobile Welding Services Pty Ltd,Education/Training,RTO,NSW,2765,2000-04-01 00:00:00,https://training.gov.au/organisation/details/0485
92056460845,AXT Pty Ltd,Manufacturing,AMTIL,NSW,2102,2000-04-01 00:00:00,https://amtil.com.au/directory/
85058316902,Epicor,Manufacturing,AMTIL,NSW,2060,2000-04-01 00:00:00,https://amtil.com.au/directory/
36007305231,Invenio Pty Ltd,Manufacturing,AMTIL,VIC,3128,2000-04-01 00:00:00,https://amtil.com.au/directory/
24095627005,Precision Specialty Tooling Pty Ltd,Manufacturing,AMTIL,VIC,3074,2000-04-01 00:00:00,https://amtil.com.au/directory/
53052214132,Raymax Applications,Manufacturing,AMTIL,NSW,2106,2000-04-01 00:00:00,https://amtil.com.au/directory/
51057134522,Shisham Stanley Group,Manufacturing,AMTIL,VIC,3175,2000-04-01 00:00:00,https://amtil.com.au/directory/
30080508603,Successful Endeavours Pty Ltd,Manufacturing,AMTIL,VIC,3175,2000-04-01 00:00:00,https://amtil.com.au/directory/
37005403350,PNOinsurance,Service Provider,NorthLink-FoodSvc,VIC,3145,2000-04-01 00:00:00,https://pno.com.au/
76091205211,Integrated Construction Modelling,"",ABR-Search,SA,5022,2000-04-01 00:00:00,""
60006224415,Dimac Tooling Pty Ltd,Manufacturing,AMTIL,VIC,3175,2000-04-02 00:00:00,https://amtil.com.au/directory/
21006633754,Fischer Plastic Products,Manufacturing,AMTIL,VIC,3170,2000-04-03 00:00:00,https://amtil.com.au/directory/
13308821704,MIDAS MODELLING TRUST,"",ABR-Search,VIC,3081,2000-04-04 00:00:00,""
42092340700,HUBTEX Australia,Manufacturing,AMTIL,NSW,2765,2000-04-05 00:00:00,https://amtil.com.au/directory/
59050242683,Lightwave Technology,Manufacturing,AMTIL,VIC,3153,2000-04-05 00:00:00,https://amtil.com.au/directory/
21084315195,Dimattina Coffee,Manufacturing,NorthLink-FoodMfg,VIC,3073,2000-04-05 00:00:00,https://dimattinacoffee.com.au/
70063009521,GEM College of International Business (Australia) Pty Ltd,Education/Training,RTO,SA,5082,2000-04-06 00:00:00,https://training.gov.au/organisation/details/0366
15084974541,Kemppi Australia Pty Ltd,Manufacturing,AMTIL,NSW,2164,2000-04-09 00:00:00,https://amtil.com.au/directory/
60000161106,Colchester Machine Tool Solutions Pty Ltd,Manufacturing,AMTIL,NSW,2147,2000-04-10 00:00:00,https://amtil.com.au/directory/
64074228005,Leussink Engineering Pty Ltd,Manufacturing,AMTIL,NSW,2526,2000-04-10 00:00:00,https://amtil.com.au/directory/
16021300521,William Buck Pty Ltd,Manufacturing,AMTIL,VIC,2000,2000-04-10 00:00:00,https://amtil.com.au/directory/
48005793911,Inductotherm Group Australia,Manufacturing,AMTIL,VIC,3198,2000-04-11 00:00:00,https://amtil.com.au/directory/
92001259749,Alumac Industries Pty Ltd,Manufacturing,AMTIL,NSW,2229,2000-04-12 00:00:00,https://amtil.com.au/directory/
93050049299,Think: Colleges Pty Ltd,Education/Training,RTO,NSW,2010,2000-04-13 00:00:00,https://training.gov.au/organisation/details/0269
51088206197,Hounslow Engineering Pty Ltd,Manufacturing,AMTIL,VIC,3153,2000-04-13 00:00:00,https://amtil.com.au/directory/
45070275562,Advanced Cutting Technology Pty Ltd,Manufacturing,AMTIL,VIC,3201,2000-04-14 00:00:00,https://amtil.com.au/directory/
51000151351,Bar’s Leaks,Manufacturing,AMTIL,NSW,2229,2000-04-14 00:00:00,https://amtil.com.au/directory/
16083521751,CADApps Australia,Manufacturing,AMTIL,VIC,3168,2000-04-14 00:00:00,https://amtil.com.au/directory/
14050028209,Efficient Lighting Systems,Manufacturing,AMTIL,VIC,3056,2000-04-14 00:00:00,https://amtil.com.au/directory/
94006606515,Machinery Forum (NSW) Pty Ltd,Manufacturing,AMTIL,NSW,2116,2000-04-17 00:00:00,https://amtil.com.au/directory/
92275694975,Brampton Sheetmetal Pty Ltd,Manufacturing,AMTIL,VIC,3155,2000-04-18 00:00:00,https://amtil.com.au/directory/
12742407221,Norman G Clark (A/Asia) Pty Ltd,Manufacturing,AMTIL,VIC,3081,2000-04-18 00:00:00,https://amtil.com.au/directory/
58552536547,Rigby Cooke Lawyers,Manufacturing,AMTIL,VIC,3000,2000-04-18 00:00:00,https://amtil.com.au/directory/
91001514889,Unique Tooling,Manufacturing,AMTIL,NSW,2164,2000-04-18 00:00:00,https://amtil.com.au/directory/
31052900562,ALLGATE AUTOMATION,"",ABR-Search,NSW,2565,2000-04-18 00:00:00,""
32001255312,Coregas,Manufacturing,AMTIL,NSW,2161,2000-04-19 00:00:00,https://amtil.com.au/directory/
96082799282,Australian College of the Arts Pty Ltd,Education/Training,RTO,VIC,3066,2000-04-21 00:00:00,https://training.gov.au/organisation/details/0109
41082617525,AUTOMATION WORKS PTY LTD,"",ABR-Search,VIC,3204,2000-04-21 00:00:00,""
47088359728,Syskim International Pty Ltd,Manufacturing,AMTIL,NSW,2154,2000-04-22 00:00:00,https://amtil.com.au/directory/
19008201894,Zeiss Australia,Manufacturing,AMTIL,NSW,5160,2000-04-22 00:00:00,https://amtil.com.au/directory/
42076185389,EMBEDDED SOLUTIONS (AUST) PTY. LTD.,"",ABR-Search,VIC,3204,2000-04-22 00:00:00,""
67413472774,Caravan Industry Association - Victoria,Manufacturing,NorthLink-MfgPartner,VIC,3003,2000-04-27 00:00:00,https://ciavic.com.au/
64000943297,AUTOMATION FEEDING DEVICES PTY LTD,"",ABR-Search,NSW,2141,2000-04-27 00:00:00,""
71641326020,SWI Engineering,Manufacturing,AMTIL,VIC,3280,2000-04-28 00:00:00,https://amtil.com.au/directory/
41051976035,AUTOMATION COMPONENTS,"",ABR-Search,NSW,2153,2000-04-29 00:00:00,""
90006504874,Modelling Training Institute,"",ABR-Search,VIC,3129,2000-04-29 00:00:00,""
47004327342,Lovitt Technologies Australia,Manufacturing,AMTIL,VIC,3088,2000-05-01 00:00:00,https://amtil.com.au/directory/
90007145520,Edlyn Foods,Manufacturing,NorthLink-FoodMfg,VIC,3076,2000-05-04 00:00:00,https://edlyn.com.au/
25058401693,GRANT MODELLING PTY. LIMITED,"",ABR-Search,NSW,2094,2000-05-05 00:00:00,""
13592263875,Sweet By Nature,Manufacturing,NorthLink-FoodMfg,VIC,3081,2000-05-06 00:00:00,https://www.sweetbynature.com.au/
49249143387,Sealane Food Services,Manufacturing,NorthLink-FoodMfg,VIC,3056,2000-05-07 00:00:00,https://sealane.com.au/
49881724827,Whittlesea Food Collective,Service Provider,NorthLink-FoodSvc,VIC,3076,2000-05-07 00:00:00,https://www.whittleseacommunityconnections.org.au/whittlesea-food-collective/
30071163249,Sussex Taps,Manufacturing,NorthLink-MfgPartner,VIC,3061,2000-05-07 00:00:00,http://sussextaps.com.au
96065126605,Electric Motor Power Pty Ltd,Manufacturing,AMTIL,VIC,3153,2000-05-09 00:00:00,https://amtil.com.au/directory/
84050285731,Whyte Public Relations,Manufacturing,AMTIL,NSW,2065,2000-05-11 00:00:00,https://amtil.com.au/directory/
30003723448,Guhring Pty Ltd,Manufacturing,AMTIL,VIC,3170,2000-05-12 00:00:00,https://amtil.com.au/directory/
37005285101,Rosebank Engineering Pty Ltd,Manufacturing,AMTIL,VIC,3153,2000-05-14 00:00:00,https://amtil.com.au/directory/
94005286215,Hargo Engineering Pty Ltd,Manufacturing,AMTIL,VIC,3136,2000-05-21 00:00:00,https://amtil.com.au/directory/
40001786858,Platform GSK,"",ABR-Search,NSW,2009,2000-05-24 00:00:00,""
14535659951,embeddedMSP,"",ABR-Search,NSW,2147,2000-06-04 00:00:00,""
21850810620,Pressure and Safety Systems,Manufacturing,AMTIL,VIC,3168,2000-06-05 00:00:00,https://amtil.com.au/directory/
83357940807,EMBODIED BUILD,"",ABR-Search,VIC,3004,2000-06-05 00:00:00,""
61748524226,Relational Modelling & Analysis,"",ABR-Search,NSW,2300,2000-06-06 00:00:00,""
12074222549,ICAL,Service Provider,NorthLink-FoodSvc,NSW,2148,2000-07-01 00:00:00,https://ical.com.au/
51112406696,EMBEDDED ELECTRONICS DESIGN SERVICES,"",ABR-Search,VIC,3336,2000-07-01 00:00:00,""
57507607457,The Trustee for the Salvation Army (NSW) Property Trust,Education/Training,RTO,NSW,2150,2000-07-03 00:00:00,https://training.gov.au/organisation/details/0328
94093719245,RESOURCE MODELLING ASSOCIATES PTY LIMITED,"",ABR-Search,NSW,2073,2000-07-11 00:00:00,""
33094304542,SYSTEMIZE PTY LTD,"",ABR-Search,NSW,2337,2000-08-29 00:00:00,""
78094326673,SYSTEMSOLVE PTY LTD,"",ABR-Search,VIC,3149,2000-08-30 00:00:00,""
72094238356,SYSTEMNET PTY LIMITED,"",ABR-Search,NSW,2022,2000-08-30 00:00:00,""
60094339563,Farley LaserLab Australia,Manufacturing,AMTIL,VIC,3020,2000-08-31 00:00:00,https://amtil.com.au/directory/
24094608705,Monash Innovation Labs,Manufacturing,AMTIL,VIC,3051,2000-09-27 00:00:00,https://amtil.com.au/directory/
29095309809,EMBEDDED TECHNOLOGIES PTY LTD,"",ABR-Search,VIC,3072,2000-12-06 00:00:00,""
68095143481,Renishaw Oceania Pty Ltd,Manufacturing,AMTIL,VIC,3173,2000-12-21 00:00:00,https://amtil.com.au/directory/
70084149360,ARBITER MODELING SYSTEMS PTY. LTD.,"",ABR-Search,VIC,3186,2001-01-01 00:00:00,""
86035336768,HW Technologies,Manufacturing,AMTIL,NSW,2151,2001-02-01 00:00:00,https://amtil.com.au/directory/
14563955163,Align.me,Service Provider,NorthLink-FoodSvc,VIC,3065,2001-04-01 00:00:00,https://align.me/
68083353995,AERONAUT AUTOMATION PTY LIMITED,"",ABR-Search,NSW,2084,2001-06-26 00:00:00,""
95097348055,Arrow Laser Australia Pty Ltd,Manufacturing,AMTIL,VIC,3061,2001-07-01 00:00:00,https://amtil.com.au/directory/
97097361898,E-STRUCT BIM ENGINEERING MODELLING,"",ABR-Search,VIC,3199,2001-07-01 00:00:00,""
20097402750,PLATFORM DATA,"",ABR-Search,NSW,2000,2001-07-01 00:00:00,""
52097769910,Diamond Abrasives Australia,Manufacturing,AMTIL,VIC,3068,2001-09-01 00:00:00,https://amtil.com.au/directory/
50098767821,Floridia Cheese,Manufacturing,NorthLink-FoodMfg,VIC,3074,2001-11-22 00:00:00,https://www.floridiacheese.com.au/
32098747927,The LaserXperts Pty Ltd,Manufacturing,AMTIL,NSW,2484,2001-12-06 00:00:00,https://amtil.com.au/directory/
82099070872,Shearform Industries Pty Ltd,Manufacturing,AMTIL,VIC,3175,2002-03-01 00:00:00,https://amtil.com.au/directory/
83100587595,BEST PRACTICE MODELING,"",ABR-Search,VIC,3000,2002-04-01 00:00:00,""
71046520474,Moka Foods,Manufacturing,NorthLink-FoodMfg,VIC,3026,2002-06-03 00:00:00,https://www.mokafoods.com.au/
96100927848,"Precision Beam, A Division of Ladder Solutions",Manufacturing,AMTIL,NSW,2567,2002-06-18 00:00:00,https://amtil.com.au/directory/
30100956232,Plastool,Manufacturing,AMTIL,VIC,3195,2002-06-27 00:00:00,https://amtil.com.au/directory/
20083722276,CNC Machinery Sales Australia Pty Ltd,Manufacturing,AMTIL,NSW,2107,2002-06-30 00:00:00,https://amtil.com.au/directory/
12272258904,Automated Solutions Australia Pty Ltd,Manufacturing,AMTIL,SA,5068,2002-08-20 00:00:00,https://amtil.com.au/directory/
75101783055,AUTOMATION & ENERGY SOLUTIONS PTY LTD,"",ABR-Search,SA,5041,2002-08-21 00:00:00,""
13102301922,Calm Aluminium Pty Ltd,Manufacturing,AMTIL,NSW,2566,2002-09-24 00:00:00,https://amtil.com.au/directory/
52102319102,Royal Nut Company,Manufacturing,NorthLink-FoodMfg,VIC,3056,2002-10-10 00:00:00,https://www.royalnutcompany.com.au/
13102455087,ELMO Software,Manufacturing,AMTIL,NSW,2000,2002-10-11 00:00:00,https://amtil.com.au/directory/
85102680580,Australian Illustration and Modelling Co. Pty Ltd,"",ABR-Search,NSW,2017,2002-10-31 00:00:00,""
62102702714,Rebul Packaging Pty Ltd,Manufacturing,AMTIL,VIC,4106,2002-11-01 00:00:00,https://amtil.com.au/directory/
12944860581,Therma-Safe Insulation Industries,Manufacturing,AMTIL,VIC,3977,2002-11-01 00:00:00,https://amtil.com.au/directory/
43102807572,Multicam Systems Pty Ltd,Manufacturing,AMTIL,NSW,2322,2002-12-01 00:00:00,https://amtil.com.au/directory/
41103164389,Qmani Pty Ltd,Manufacturing,AMTIL,VIC,3101,2002-12-13 00:00:00,https://amtil.com.au/directory/
96005125833,Bordo International Pty Ltd,Manufacturing,AMTIL,VIC,3180,2003-01-01 00:00:00,https://amtil.com.au/directory/
36103573806,Procal Dairies,Manufacturing,NorthLink-FoodMfg,VIC,3061,2003-02-01 00:00:00,https://www.procal.com.au/
65103611990,EMBEDDED DESIGN AND DISTRIBUTION PTY LTD,"",ABR-Search,NSW,2080,2003-02-05 00:00:00,""
